type,imu,mu_ax,mu_ay,mu_az,sigma_ax,sigma_ay,sigma_az
Ambient,0,0.2986,9.98652,-0.1731,0.00287,0.00315,0.00387
Ambient,1,0.20862,9.94744,-0.45132,0.00327,0.00313,0.00342
Ambient,2,0.15776,9.878,-0.07941,0.00272,0.00324,0.00435
Ambient,3,0.25385,9.98513,-0.709,0.00274,0.00324,0.00331
Ambient,4,0.17545,9.83945,-0.06041,0.0028,0.00312,0.0032
Ambient,5,0.30717,9.97049,-0.03596,0.00282,0.00312,0.00346
Ambient,6,0.07641,10.03717,-0.25216,0.00277,0.00306,0.00427
Ambient,7,0.22932,9.97721,-0.00272,0.00293,0.0032,0.00436
Ambient,8,0.00551,10.03457,-0.28987,0.00292,0.0031,0.00393
Ambient,9,0.2046,9.9067,-0.46727,0.00291,0.00306,0.00332
White Noise 1,0,0.29881,9.98471,-0.17691,0.12699,0.09758,0.25088
White Noise 1,1,0.21079,9.9461,-0.45274,0.12764,0.09894,0.28887
White Noise 1,2,0.15972,9.87541,-0.0821,0.12791,0.09023,0.24152
White Noise 1,3,0.25548,9.98432,-0.71053,0.12716,0.13924,0.17305
White Noise 1,4,0.17748,9.83818,-0.05947,0.13856,0.1278,0.16594
White Noise 1,5,0.30908,9.96941,-0.03657,0.12921,0.13493,0.18011
White Noise 1,6,0.07593,10.03555,-0.2536,0.12926,0.0966,0.26362
White Noise 1,7,0.23116,9.97556,-0.00492,0.12817,0.09471,0.23371
White Noise 1,8,0.00648,10.03442,-0.29088,0.13053,0.13616,0.18668
White Noise 1,9,0.20584,9.90639,-0.46829,0.12759,0.13396,0.17639
White Noise 2,0,0.29851,9.98508,-0.17723,0.16141,0.10352,0.31689
White Noise 2,1,0.21068,9.94605,-0.45248,0.15809,0.1047,0.37079
White Noise 2,2,0.15907,9.87618,-0.08196,0.15803,0.09483,0.31176
White Noise 2,3,0.2555,9.98457,-0.71112,0.15197,0.15839,0.20854
White Noise 2,4,0.17715,9.83756,-0.05952,0.15319,0.15963,0.18433
White Noise 2,5,0.30869,9.9695,-0.03663,0.15809,0.16309,0.22615
White Noise 2,6,0.07568,10.03601,-0.25321,0.15299,0.09946,0.33952
White Noise 2,7,0.23051,9.97513,-0.00502,0.15839,0.10115,0.28243
White Noise 2,8,0.00533,10.03433,-0.2915,0.16509,0.16314,0.24158
White Noise 2,9,0.20542,9.90637,-0.46848,0.15705,0.16161,0.20619
White Noise 3,0,0.29775,9.98524,-0.17699,0.16066,0.10241,0.31557
White Noise 3,1,0.21053,9.94564,-0.45221,0.15591,0.10187,0.36784
White Noise 3,2,0.15916,9.87571,-0.0825,0.15775,0.09267,0.31255
White Noise 3,3,0.25531,9.98483,-0.71163,0.14916,0.1548,0.20443
White Noise 3,4,0.1768,9.8379,-0.05947,0.15198,0.15552,0.18555
White Noise 3,5,0.30866,9.96947,-0.0357,0.15725,0.16138,0.22445
White Noise 3,6,0.0752,10.03614,-0.25235,0.15033,0.09732,0.3356
White Noise 3,7,0.23019,9.97589,-0.005,0.15694,0.09977,0.2809
White Noise 3,8,0.00531,10.03411,-0.29096,0.1633,0.16062,0.24143
White Noise 3,9,0.20493,9.90662,-0.46812,0.15627,0.15949,0.2075
White Noise after cracking,0,0.31239,9.97705,-0.37078,0.16098,0.15164,0.31571
White Noise after cracking,1,0.19856,9.94557,-0.46263,0.15697,0.14578,0.27612
White Noise after cracking,2,0.16025,9.87521,-0.11813,0.15428,0.13579,0.27789
White Noise after cracking,3,0.28226,9.96958,-0.89169,0.13838,0.15683,0.17702
White Noise after cracking,4,0.1817,9.83687,-0.10714,0.18372,0.11839,0.23554
White Noise after cracking,5,0.31093,9.96637,-0.19348,0.15389,0.175,0.21515
White Noise after cracking,6,0.07817,10.03478,-0.30139,0.15308,0.14767,0.29801
White Noise after cracking,7,0.23245,9.97545,-0.04006,0.15224,0.13407,0.21914
White Noise after cracking,8,-0.00277,10.03309,-0.32285,0.16612,0.18,0.24694
White Noise after cracking,9,0.19415,9.90639,-0.47961,0.14949,0.15353,0.33458
